"ID","acce.roundNo","turtle.ID","sex","cl","time","date","hour","month","year","julian","x","y","z","ODBA","airTemp","waterTemp","rainfall","roll_sum_24h","heavyRain","acce.netWeight","ID_old","ODBA.scaled","state"
"609-5-1","5","609","F",134.5,"2022-09-17 20:45:00",2022-09-17,20,9,2022,260,0,-0.00029449445953352,0.00020308738570457,0.00336289144882895,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.43462026508853,1
"609-5-1","5","609","F",134.5,"2022-09-17 21:00:00",2022-09-17,21,9,2022,260,0.000506083001200204,0,0.00143999338335274,0.00777754959883866,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.73555799925823,1
"609-5-1","5","609","F",134.5,"2022-09-17 21:15:00",2022-09-17,21,9,2022,260,0,0.00132157881181319,0,0.00212143000228938,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.76946404809661,1
"609-5-1","5","609","F",134.5,"2022-09-17 21:30:00",2022-09-17,21,9,2022,260,0,-9.90979506604516e-05,0.00206080811549558,0.0078243262813575,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.73024302113279,1
"609-5-1","5","609","F",134.5,"2022-09-17 21:45:00",2022-09-17,21,9,2022,260,0,0.00361633266906704,-0.00187614035270281,0.00949435221896154,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.55691805043853,1
"609-5-1","5","609","F",134.5,"2022-09-17 22:00:00",2022-09-17,22,9,2022,260,0.00107430275887305,0,0,0.00360568522189617,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.38046382080128,1
"609-5-1","5","609","F",134.5,"2022-09-17 22:15:00",2022-09-17,22,9,2022,260,0,0,0,0,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-17 22:30:00",2022-09-17,22,9,2022,260,0,0,0,0,1.12083279254478,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-17 22:45:00",2022-09-17,22,9,2022,260,0.00341324528336247,-0.0016676872389763,-0.00178429697472662,0.015758023985563,1.01315696096625,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.08887809150176,1
"609-5-1","5","609","F",134.5,"2022-09-17 23:00:00",2022-09-17,23,9,2022,260,0,0,0,0,1.01315696096625,1.2962173228913,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-17 23:15:00",2022-09-17,23,9,2022,260,-0.0124291534203644,-0.0169081894667832,-0.000538635084533501,0.0313408217216811,1.01315696096625,1.4895845344884,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-3.4314250163223,1
"609-5-1","5","609","F",134.5,"2022-09-17 23:30:00",2022-09-17,23,9,2022,260,0,0.00029449445953352,0,0.00185699445953352,1.01315696096625,1.2962173228913,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.85798509499561,1
"609-5-1","5","609","F",134.5,"2022-09-17 23:45:00",2022-09-17,23,9,2022,260,0,0,0.00032515769820457,0.00141095341290653,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.02773300269624,1
"609-5-1","5","609","F",134.5,"2022-09-18 00:00:00",2022-09-18,0,9,2022,261,0,0,0,0,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-18 00:15:00",2022-09-18,0,9,2022,261,0,0,0.000636752028353615,0.00263473234664641,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.61721980299199,1
"609-5-1","5","609","F",134.5,"2022-09-18 00:30:00",2022-09-18,0,9,2022,261,0,0,0,0,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-18 00:45:00",2022-09-18,0,9,2022,261,0,0.00347222222222222,0,0.00347222222222222,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.40986985245378,1
"609-5-1","5","609","F",134.5,"2022-09-18 01:00:00",2022-09-18,1,9,2022,261,0,-0.00186485856557972,0,0.00186485856557972,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.85523629632379,1
"609-5-1","5","609","F",134.5,"2022-09-18 01:15:00",2022-09-18,1,9,2022,261,-0.00880863114749833,0.0274122280714078,0.00541280009053444,0.0444982426427738,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-3.09008157700687,1
"609-5-1","5","609","F",134.5,"2022-09-18 01:30:00",2022-09-18,1,9,2022,261,0,0,0,0,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-18 01:45:00",2022-09-18,1,9,2022,261,0.000341601757617382,0,-0.000911458333333337,0.00717542548597236,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.80662251633948,1
"609-5-1","5","609","F",134.5,"2022-09-18 02:00:00",2022-09-18,2,9,2022,261,0,0,0,0,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-6.90775527898214,1
"609-5-1","5","609","F",134.5,"2022-09-18 02:15:00",2022-09-18,2,9,2022,261,0,-0.00135243716786685,0,0.00232899966786685,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-5.7050834201589,1
"609-5-1","5","609","F",134.5,"2022-09-18 02:30:00",2022-09-18,2,9,2022,261,0.00301744967272312,0.000738513873279499,0,0.0115037170945374,1.01315696096625,1.10285011129419,-0.127969621543519,-0.366521858712525,"no",-1.85347123204124,"609-5",-4.38172931131586,1
